star_academy_sessions
Module,Session,Focus,Objectives,Materials,Teacher_Preparations,Performance_Assessment_Questions,,,
The Universe,3,"Scientific Notation, Speed of Light","• Review scientific notation.
• Use it to calculate distances in the universe.
• Learn units for calculating distances in the universe.
• Measure the speed of light.
• Convert the speed of light into different units.","Light-sensitive thinking putty, microwave lid, mug, dinner plate, rolling pin, plastic wrap, oven mitts, ruler, microwave oven, source of water","In this session students will measure the speed of light using light-sensitive Thinking Putty and the microwave oven. Instruct students to remove the turntable from the microwave and heat a flattened piece of Thinking Putty for several seconds until measurable ""hot spots"" appear on it. The distance between the centers of two hot spots is the length of one-half of a microwave. They will substitute this measurement into a formula to calculate the speed of light. You may need to remind students to pay attention to the videos and follow them exactly. Failure to follow proper procedure will prevent them from obtaining measurements and doing the calculations. For example: If they fail to remove the turntable, there will be no distinct hot spots. If they leave the putty in the microwave too long, the hot spots will run together. If they do not measure between the centers of the hot spots, the wavelength measurement will be inaccurate. A second pound of Thinking Putty is included in the inventory. This can be used if students fail to follow instructions and heat their putty too long, so the hot spots run together. It will also be useful if you have several classes, one right after another. If you alternate the two pieces of putty, they will have more time to cool back to room temperature before the next use.","1. Show three ways to express the number 50 million in scientific notation.
2. Use scientific notation to calculate how much farther away Star B is than Star A and show your work. Star A is 48 trillion miles from Earth, and Star B is 720 trillion miles away.
3. Explain why you can use a microwave oven to measure the speed of light and briefly describe the process.
4. Use rounded values to express the speed of light in two forms: meters per second and miles per second.",,,
The Universe,4,"Scatter Plots, H-R Diagrams","• Examine the Sun as an example of an average star.
• Define luminosity.
• Make a scatter plot showing luminosity of various stars.
• Compare your scatter plot to the Hertzsprung-Russell diagram.
• Do calculations using luminosities.","2 sets of colored pencils, 2 rulers, 2 pieces of grid paper, Star Cards","In this session students will make a paper-and-pencil scatter plot showing star temperatures versus luminosities. They will plot the 25 stars in their set of star cards. This is not a linear plot, so they will have to estimate the placement of the points; they should be reassured that it's okay to estimate and that exact placement (while preferable) is not essential for their purpose. Their final scatter plot should resemble the Hertzsprung-Russell diagram that they will study later in the session. Also, plotting the star card information on the graph is time-consuming. If they take too long, they will not finish the session. They are instructed in a Tip that, if time is short, they should plot only one or two stars from each color group. They should be reminded of this. However, the more stars they can plot, the more realistic their plot will be (the more it will resemble the Hertzsprung-Russell Diagram).",N/A,,,
The Universe,5,"Stellar Luminosities, Spectral Types of Stars, Spectrometer Use","• Learn about nebula formation.
• Explore life cycles of stars.
• Study spectral types of stars.
• Calculate stellar luminosities and number of fusion reactions per second.
• Use a spectrometer to compare spectra of different light sources.","Spectrometer, Fluorescent desk lamp, Incandescent lamp, 2 copies of the ""Spectral Lines"" worksheet",N/A,N/A,,,
The Universe,6,"Inverse Square Law, Light-years, and Parsecs","• Explore variable stars as a way of determining distance to a star.
• Learn and apply the inverse square law.
• Explore star clusters and galaxies.
• Calculate distances between galaxies in light-years and parsecs.","Stellarscope, Galaxy model, Star Wheel, Graphing calculators",N/A,N/A,,,
The Universe,7,"Probability, Age of Universe, Drake Equation","• Consider the age and origin of the universe.
• Learn concepts relating to probability.
• Analyze the Drake Equation for determining the probability of intelligent life in the universe.
• Solve the Drake Equation using your own assumptions.",None,N/A,"1. Briefly explain the Big Bang Theory and describe how the Doppler effect and the redshift provide evidence to support this theory.
2. Give the purpose of the Drake Equation and explain why it has more than one solution.
3. Describe how the Fundamental Counting Principle relates to the Drake Equation.
4. Show your completed worksheet, compare your solution with Drake's solution, and justify your assumptions.",,,
Unsolved Mysteries,1,"Forensic Science, Identifying a Suspect","• Learn the basics of forensic science.
• Be given the specifics of a crime.
• Begin the process of identifying a prime suspect.","Unsolved Mysteries student notebook, crime logbook, ruler, crime scene photo packet",N/A,N/A,,,
Unsolved Mysteries,2,Coordinate Graphing,"• Use coordinate graphing to graph locations of cell phone calls, locations of credit card purchases, and addresses of suspects and witnesses.","""""Coordinate System"""" Worksheet, colored pencils, crime logbook, Unsolved Mysteries Student Notebook, """"Phone Records"""" page, fingerprint cards (in student module notebook)",N/A,"1. Explain coordinates.
2. Identify quadrants.
3. Complete graphing of coordinates on a map of Running Well.
4. Explain predictions that can be made based on the locations.",,,
Unsolved Mysteries,3,"Cooling Rate, Functions","• Complete an experiment to determine the cooling rate of a liquid.
• Learn about relationships and functions.
• Identify functions.","""""Functions"""" worksheet, crime logbook, Unsolved Mysteries student notebook, coffee mug, coffeemaker, graphing calculator, digital thermometer, water, stopwatch","Students will need access to water (about 2 cups) and the coffeemaker to heat the water.",N/A,,,
Unsolved Mysteries,4,"Functions, Domain / Range","• Use a graphing calculator to graph time and temperature data.
• Determine the relationship of this data.
• Create an equation representing this relationship.","Crime logbook, graphing calculator",N/A,"1. Explain functions and relationships.
2. Explain domain and range.
3. Identify domain and range for a given function.
4. Determine the function for the cooling rate of a liquid.",,,
Unsolved Mysteries,5,Blood Spatter Evidence,"• Experiment to determine the diameter of blood spatter evidence at varying heights.","Crime scene photo packet, white paper, corn syrup, red food coloring, water, spoon, 250-milliliter beaker, dropper, tape measure, dial calipers, pen or pencil, crime logbook, Unsolved Mysteries student notebook","Ensure students will have access to water throughout the session.",N/A,,,
Unsolved Mysteries,6,"Data Tables, Equations","• Use a graphing calculator to create a graph.
• Determine the function that describes the graph.
• Use the function to estimate the height from which a drop of blood may have fallen.","Crime logbook, graphing calculator, student notebook",N/A,"1. Given a table of data, determine whether the data is representative of a function.
2. Create an equation to represent a given data table.
3. Given a graph of data, determine whether or not the graph is representative of a function.
4. Create an equation to represent a given graph of data.",,,
